rollout/ep_len_std_custom,rollout/success_rate,rollout/reward_std_all,rollout/ep_len_mean_custom,time/time_elapsed,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/ep_rew_mean_this_rollout,time/iterations,rollout/reward_mean_all,rollout/ep_len_mean_this_rollout,rollout/reward_sum_all,rollout/ep_rew_std_custom,time/total_timesteps,rollout/steps_this_iter,rollout/ep_rew_mean_custom,time/fps,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate
93.66423597083362,1.0,0.6625962868559591,205.47,178,51.7670735504534,-6697.060028076172,-248.03926029911747,22,-1.241612993972376,196.85185185185185,-6357.058529138565,116.76621944579146,112640,5120,-261.04565244674683,630,27,73.52260697383238,0.007476817,0.8939487338066101,210,0.2,-0.002897700584726408,161.38850608110428,-1.3650905974209309,41.7393798828125,0.03728515625,0.0003
87.99789258840237,0.9473684210526315,0.6388338319658158,211.47,192,84.24640682967976,-5599.091262817383,-294.68901383249386,23,-1.2639181486330926,241.73684210526315,-6471.260921001434,97.66828482597023,117760,5120,-265.02916746616364,611,19,67.9308371953979,0.0048095966,0.8959366679191589,220,0.2,-0.003931856467970647,151.96943151950836,-1.3524266867339612,27.776592254638672,0.03685546875,0.0003
81.28597603523008,1.0,0.6725178176616556,200.51,196,100.44675240438141,-6604.688935756683,-244.61810873172902,24,-1.2757606649771334,185.92592592592592,-6531.894604682922,100.70423425751115,122880,5120,-255.9655399751663,625,27,135.20617539667816,0.0052413763,0.9341821074485779,230,0.2,-0.0037032426561927423,112.51739491462708,-1.3052600200474263,29.110965728759766,0.05921875,0.0003
77.01947805587882,1.0,0.6563011547851809,203.0,205,52.961538442381126,-6926.46102142334,-256.53559338604964,25,-1.3137398731894792,198.96296296296296,-6726.348150730133,92.12232791574017,128000,5120,-258.27301248073576,623,27,57.18889870349973,0.0071746456,0.8890886902809143,240,0.2,-0.0039771292399382215,178.64121809005738,-1.3220606990158559,76.41915893554688,0.0594140625,0.0003
80.95945837269416,1.0,0.6566158146485588,199.19,214,68.31007332721742,-6514.625114440918,-241.2824116459599,26,-1.3183691845973953,182.74074074074073,-6750.050225138664,94.80361661637812,133120,5120,-256.44866334438325,620,27,84.20365208429409,0.0085016955,0.9059135317802429,250,0.2,-0.004641836032387801,150.20340237617492,-1.3109305579960346,61.99174118041992,0.07966796875,0.0003
67.4235240846991,1.0,0.6811702330250439,184.22,223,63.68632483401506,-7288.072307109833,-235.09910668096234,27,-1.2845425132662058,181.29032258064515,-6576.857667922974,82.1387647916729,138240,5120,-240.38261783123016,618,31,74.6069118260671,0.009577215,0.9064027667045593,260,0.2,-0.004429476986406371,151.3126707649231,-1.2708314143121242,42.394493103027344,0.075390625,0.0003
64.6188973907788,1.0,0.6679952462141702,181.91,232,62.29846460414008,-6721.982493877411,-231.79249978887623,28,-1.3069303330034017,176.93103448275863,-6691.483304977417,76.76910868315751,143360,5120,-238.64855978965758,615,29,73.98504370777478,0.005727987,0.9075471758842468,270,0.2,-0.0017835881075006909,149.24815569162368,-1.2763793210685253,52.682491302490234,0.0333984375,0.0003
66.7031116215728,1.0,0.6794839839731153,179.43,242,75.31724570110089,-6063.369059085846,-216.54889496735163,29,-1.2989373567514122,168.75,-6650.55926656723,76.62929335863971,148480,5120,-232.8795805501938,612,28,82.35007937963904,0.0068852515,0.889523983001709,280,0.2,-0.0032035659518442118,154.01099490642548,-1.2385166804492473,64.56979370117188,0.03826171875,0.0003
76.33495660573864,0.9666666666666667,0.6616339695202041,172.12,251,93.26926968013991,-6822.902637004852,-227.43008790016174,30,-1.2840345662087203,175.9,-6574.2569789886475,88.529322349071,153600,5120,-224.23818608283997,610,30,109.0642980677707,0.0065265903,0.8866921663284302,290,0.2,-0.002524664176744409,160.68790516376495,-1.236432505697012,37.32848358154297,0.042109375,0.0003
76.05912108353606,1.0,0.6960735329158335,165.01,261,58.08508021178827,-7697.369262218475,-213.8158128394021,31,-1.3668331840075552,157.88888888888889,-6998.185902118683,89.50393368101051,158720,5120,-218.32237023353576,607,36,73.09510734548122,0.0070983144,0.8655453324317932,300,0.2,-0.00414743692468619,184.5339139485359,-1.1709843882918358,120.26721954345703,0.0591796875,0.0003
71.92917627778036,1.0,0.6835946270305978,160.44,270,60.26229432777231,-6881.050770998001,-202.38384620582357,32,-1.3635971160139888,149.5,-6981.617233991623,85.16106922310507,163840,5120,-214.01322670221327,605,34,69.88349869855165,0.004383198,0.868330717086792,310,0.2,-0.0031424373656045645,192.06949807167052,-1.151453993320465,124.264404296875,0.04220703125,0.0003
61.921539871033566,1.0,0.6773859955952458,156.23,279,67.05867404615381,-6360.791376590729,-205.18681859970093,33,-1.2346606777515263,163.80645161290323,-6321.462670087814,68.95827096780319,168960,5120,-206.51767623186112,603,31,62.509314305399705,0.005149521,0.892754077911377,320,0.2,-0.0023600273387273775,153.90850130558013,-1.0738694854080677,33.356143951416016,0.0328125,0.0003
68.04317673360055,0.967741935483871,0.6653509855890865,158.31,289,79.31741839975943,-6574.544128417969,-212.08206865864415,34,-1.2980958032421768,163.80645161290323,-6646.250512599945,69.42002250126816,174080,5120,-207.21754150152208,601,31,77.93090560049355,0.0065105096,0.8784708380699158,330,0.2,-0.0038906426596804523,153.0767821931839,-1.1346675200760366,27.8907470703125,0.0683984375,0.0003
74.3021103334219,1.0,0.6826899857677522,156.42,298,76.53060745578217,-6667.139217376709,-190.48969192504882,35,-1.3360201226081698,143.45714285714286,-6840.42302775383,73.58462244186325,179200,5120,-202.08736090183257,599,35,79.79485487009529,0.005418592,0.8654213547706604,340,0.2,-0.004479187299439218,160.91918794631957,-1.0740654954314233,58.220008850097656,0.067265625,0.0003
76.63506442875872,1.0,0.6768966584029248,148.63,308,74.23073587428256,-5860.1490025520325,-183.12965632975101,36,-1.2588321388000623,139.28125,-6445.220550656319,84.70034040702558,184320,5120,-194.90515118122102,598,32,95.47479148597867,0.0062320596,0.8600453734397888,350,0.2,-0.004894947220454924,151.09548924922944,-1.0347983619570733,123.2579116821289,0.07150390625,0.0003
85.08833703863297,0.9714285714285714,0.7034944308305628,149.07,317,97.60858945140986,-7191.490508556366,-205.47115738732475,37,-1.29182944400236,164.14285714285714,-6614.166753292084,94.31845413600934,189440,5120,-192.93688961029054,596,35,102.49410591766876,0.0064498917,0.8197952508926392,360,0.2,-0.003275298195076175,176.21825389385222,-1.0010822772979737,84.83252716064453,0.04685546875,0.0003
84.49573894581903,1.0,0.6983042432297903,141.51,332,72.4877282230053,-6673.569775819778,-171.1171737389687,38,-1.3937244051136077,122.7948717948718,-7135.868954181671,99.10499840785855,194560,5120,-186.83624592065811,584,39,94.36371765575747,0.005780634,0.8332494497299194,370,0.2,-0.0021742851233284453,169.64933440208435,-1.0201181668043136,155.7556915283203,0.03466796875,0.0003
74.98846577974508,1.0,0.6904199042306711,144.5,337,71.7240788738671,-7826.533989429474,-205.96142077445984,39,-1.3326104707317428,153.1578947368421,-6822.9656101465225,85.54572782399603,199680,5120,-193.10185582876204,591,38,83.77498456684626,0.0077607245,0.8579504489898682,380,0.2,-0.004101203950558557,160.528671169281,-0.9267182690650224,51.191551208496094,0.06953125,0.0003
69.60828901790362,1.0,0.6823277827241561,138.81,346,57.17796197782411,-6090.078494548798,-190.31495295464993,40,-1.3255955022294075,140.15625,-6787.048971414566,84.58635523509673,204800,5120,-189.6768032002449,590,32,64.20867732346079,0.0037440658,0.8144022226333618,390,0.2,-0.0009589483178569935,194.4342805147171,-0.9028015050292015,78.96870422363281,0.02203125,0.0003
